file,manual_id
20210222T053000+0100_Short-term_Makokou__t00269s__conf0.66.wav,Noise
20210222T060000+0100_Short-term_Makokou__t00647s__conf0.52.wav,Noise
20210222T060000+0100_Short-term_Makokou__t00764s__conf0.53.wav,Noise
20210222T060000+0100_Short-term_Makokou__t00766s__conf0.52.wav,Noise
20210222T060000+0100_Short-term_Makokou__t00988s__conf0.58.wav,Noise
20210222T060000+0100_Short-term_Makokou__t00999s__conf0.59.wav,Noise
20210222T060000+0100_Short-term_Makokou__t01040s__conf0.61.wav,Noise
20210222T060000+0100_Short-term_Makokou__t01489s__conf0.75.wav,Noise
20210222T063000+0100_Short-term_Makokou__t01073s__conf0.57.wav,Noise
20210222T063000+0100_Short-term_Makokou__t01101s__conf0.53.wav,Noise
20210222T063000+0100_Short-term_Makokou__t01125s__conf0.56.wav,Noise
20210222T063000+0100_Short-term_Makokou__t01280s__conf0.50.wav,Noise
20210222T063000+0100_Short-term_Makokou__t01306s__conf0.50.wav,Noise
20210222T063000+0100_Short-term_Makokou__t01307s__conf0.65.wav,Noise
20210222T063000+0100_Short-term_Makokou__t01325s__conf0.58.wav,Noise
20210222T063000+0100_Short-term_Makokou__t01428s__conf0.69.wav,Noise
20210222T063000+0100_Short-term_Makokou__t01483s__conf0.51.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00203s__conf0.79.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00204s__conf0.83.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00522s__conf0.50.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00699s__conf0.65.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00713s__conf0.67.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00714s__conf0.64.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00724s__conf0.55.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00732s__conf0.64.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00733s__conf0.57.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00761s__conf0.55.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00764s__conf0.69.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00765s__conf0.61.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00766s__conf0.75.wav,Noise
20210222T070000+0100_Short-term_Makokou__t00772s__conf0.54.wav,Noise
20210222T070000+0100_Short-term_Makokou__t01265s__conf0.69.wav,Noise
20210222T070000+0100_Short-term_Makokou__t01270s__conf0.71.wav,Noise
20210222T070000+0100_Short-term_Makokou__t01302s__conf0.54.wav,Noise
20210222T070000+0100_Short-term_Makokou__t01310s__conf0.59.wav,Noise
20210222T070000+0100_Short-term_Makokou__t01314s__conf0.73.wav,Noise
20210222T070000+0100_Short-term_Makokou__t01348s__conf0.55.wav,Noise
20210222T070000+0100_Short-term_Makokou__t01357s__conf0.71.wav,Noise
20210222T070000+0100_Short-term_Makokou__t01374s__conf0.59.wav,Noise
20210222T070000+0100_Short-term_Makokou__t01375s__conf0.65.wav,Noise
20210222T070000+0100_Short-term_Makokou__t01412s__conf0.54.wav,Noise
20210222T070000+0100_Short-term_Makokou__t01646s__conf0.70.wav,Noise
20210222T070000+0100_Short-term_Makokou__t01647s__conf0.81.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00037s__conf0.50.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00220s__conf0.63.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00245s__conf0.64.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00246s__conf0.63.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00246s__conf0.90.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00247s__conf0.81.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00248s__conf0.69.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00258s__conf0.67.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00258s__conf0.89.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00259s__conf0.85.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00260s__conf0.70.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00260s__conf0.95.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00261s__conf0.73.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00267s__conf0.53.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00271s__conf0.52.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00272s__conf0.88.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00278s__conf0.62.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00279s__conf0.77.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00280s__conf0.74.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00281s__conf0.73.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00282s__conf0.50.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00288s__conf0.66.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00290s__conf0.65.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00291s__conf0.73.wav,Noise
20210222T073000+0100_Short-term_Makokou__t00292s__conf0.76.wav,Noise
