"clip_id","label"
"20__IPA2ST__conf1.00__yamnet__B-what-Santi-reviewed-3s","call"
"68__IPA17ST__conf0.52__yamnet__B-what-Santi-reviewed-3s","not_call"
"24__IPA13ST__conf0.99__mahal__B-what-Santi-reviewed-3s","call"
"09__IPA1ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"47__IPA7ST__conf0.89__mahal__B-what-Santi-reviewed-3s","call"
"48__IPA17ST__conf0.87__yamnet__B-what-Santi-reviewed-3s","call"
"63__IPA7ST__conf0.57__yamnet__B-what-Santi-reviewed-3s","not_call"
"05__IPA17ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"44__IPA1ST__conf0.90__yamnet__B-what-Santi-reviewed-3s","call"
"59__IPA14ST__conf0.67__mahal__B-what-Santi-reviewed-3s","call"
"31__IPA20ST__conf0.99__mahal__B-what-Santi-reviewed-3s","call"
"11__IPA20ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"17__IPA20ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"03__IPA13ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"45__IPA19ST__conf0.89__mahal__B-what-Santi-reviewed-3s","call"
"37__IPA20ST__conf0.97__mahal__B-what-Santi-reviewed-3s","call"
"21__IPA2ST__conf1.00__yamnet__B-what-Santi-reviewed-3s","call"
"52__IPA14ST__conf0.83__yamnet__B-what-Santi-reviewed-3s","call"
"12__IPA20ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"65__IPA16ST__conf0.55__yamnet__B-what-Santi-reviewed-3s","call"
"56__IPA17ST__conf0.69__yamnet__B-what-Santi-reviewed-3s","call"
"36__IPA16ST__conf0.97__yamnet__B-what-Santi-reviewed-3s","call"
"19__IPA20ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"35__IPA13ST__conf0.97__mahal__B-what-Santi-reviewed-3s","call"
"04__IPA17ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"02__IPA13ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"29__IPA19ST__conf0.99__mahal__B-what-Santi-reviewed-3s","call"
"64__IPA10ST__conf0.55__yamnet__B-what-Santi-reviewed-3s","call"
"25__IPA13ST__conf0.99__mahal__B-what-Santi-reviewed-3s","call"
"18__IPA20ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"28__IPA18ST__conf0.99__mahal__B-what-Santi-reviewed-3s","call"
"43__IPA1ST__conf0.91__mahal__B-what-Santi-reviewed-3s","call"
"22__IPA7ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"01__IPA13ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"07__IPA19ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"23__IPA13ST__conf0.99__mahal__B-what-Santi-reviewed-3s","call"
"27__IPA17ST__conf0.99__yamnet__B-what-Santi-reviewed-3s","call"
"38__IPA13ST__conf0.96__mahal__B-what-Santi-reviewed-3s","call"
"66__IPA16ST__conf0.53__mahal__B-what-Santi-reviewed-3s","call"
"53__IPA1ST__conf0.78__mahal__B-what-Santi-reviewed-3s","call"
"16__IPA20ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"33__IPA1ST__conf0.98__yamnet__B-what-Santi-reviewed-3s","call"
"26__IPA13ST__conf0.99__mahal__B-what-Santi-reviewed-3s","call"
"61__IPA15ST__conf0.59__yamnet__B-what-Santi-reviewed-3s","call"
"10__IPA1ST__conf1.00__yamnet__B-what-Santi-reviewed-3s","call"
"39__IPA13ST__conf0.96__mahal__B-what-Santi-reviewed-3s","call"
"54__IPA14ST__conf0.74__yamnet__B-what-Santi-reviewed-3s","call"
"62__IPA20ST__conf0.57__mahal__B-what-Santi-reviewed-3s","call"
"51__IPA13ST__conf0.83__mahal__B-what-Santi-reviewed-3s","call"
"41__IPA1ST__conf0.95__yamnet__B-what-Santi-reviewed-3s","call"
"49__IPA20ST__conf0.87__mahal__B-what-Santi-reviewed-3s","call"
"14__IPA20ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"13__IPA20ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"08__IPA19ST__conf1.00__yamnet__B-what-Santi-reviewed-3s","call"
"46__IPA4ST__conf0.89__yamnet__B-what-Santi-reviewed-3s","call"
"40__IPA4ST__conf0.96__yamnet__B-what-Santi-reviewed-3s","call"
"32__IPA7ST__conf0.99__mahal__B-what-Santi-reviewed-3s","call"
"06__IPA17ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"50__IPA20ST__conf0.85__mahal__B-what-Santi-reviewed-3s","call"
"58__IPA20ST__conf0.68__mahal__B-what-Santi-reviewed-3s","call"
"15__IPA20ST__conf1.00__mahal__B-what-Santi-reviewed-3s","call"
"67__IPA19ST__conf0.53__mahal__B-what-Santi-reviewed-3s","call"
"60__IPA13ST__conf0.66__yamnet__B-what-Santi-reviewed-3s","call"
"55__IPA16ST__conf0.73__yamnet__B-what-Santi-reviewed-3s","not_call"
"30__IPA1ST__conf0.99__mahal__B-what-Santi-reviewed-3s","call"
"42__IPA10ST__conf0.93__yamnet__B-what-Santi-reviewed-3s","call"
"57__IPA17ST__conf0.69__yamnet__B-what-Santi-reviewed-3s","not_call"
"34__IPA4ST__conf0.98__mahal__B-what-Santi-reviewed-3s","call"
