file,site,reason,decided_by
Cernic__S20210223T155947688+0100_E20210223T162946552+0100_+00.4972+012.7597__00783s__conf0.792.wav,IPA10ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T155947688+0100_E20210223T162946552+0100_+00.4972+012.7597__00785s__conf0.985.wav,IPA10ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T155947688+0100_E20210223T162946552+0100_+00.4972+012.7597__00786s__conf0.714.wav,IPA10ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210222T190000330+0100_E20210222T193000080+0100_+00.5000+012.7522__01497s__conf0.997.wav,IPA11ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T190000145+0100_E20210223T192957835+0100_+00.5000+012.7522__00108s__conf0.587.wav,IPA11ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T190000145+0100_E20210223T192957835+0100_+00.5000+012.7522__00332s__conf0.827.wav,IPA11ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T172953752+0100_E20210223T175950791+0100_+00.4925+012.7175__01779s__conf0.987.wav,IPA15ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T062948718+0100_E20210225T065946690+0100_+00.4925+012.7175__00469s__conf0.729.wav,IPA15ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T062948718+0100_E20210225T065946690+0100_+00.4925+012.7175__00495s__conf0.990.wav,IPA15ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T062948718+0100_E20210225T065946690+0100_+00.4925+012.7175__00496s__conf0.998.wav,IPA15ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T062948718+0100_E20210225T065946690+0100_+00.4925+012.7175__00517s__conf0.771.wav,IPA15ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T152947831+0100_E20210225T155945855+0100_+00.4925+012.7175__01567s__conf0.778.wav,IPA15ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210222T102958178+0100_E20210222T105956244+0100_+00.4819+012.7547__00003s__conf0.959.wav,IPA16ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T055956037+0100_E20210223T062955546+0100_+00.4819+012.7547__01226s__conf0.893.wav,IPA16ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T062957782+0100_E20210223T065954526+0100_+00.4819+012.7547__00266s__conf0.995.wav,IPA16ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T062957782+0100_E20210223T065954526+0100_+00.4819+012.7547__00267s__conf1.000.wav,IPA16ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T062957782+0100_E20210223T065954526+0100_+00.4819+012.7547__00287s__conf1.000.wav,IPA16ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T062957782+0100_E20210223T065954526+0100_+00.4819+012.7547__00347s__conf0.985.wav,IPA16ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T062957782+0100_E20210223T065954526+0100_+00.4819+012.7547__00379s__conf1.000.wav,IPA16ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T155954902+0100_E20210223T162949947+0100_+00.4819+012.7547__00441s__conf0.991.wav,IPA16ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T072950087+0100_E20210224T075954726+0100_+00.4819+012.7547__00954s__conf0.608.wav,IPA16ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T165949379+0100_E20210225T172944878+0100_+00.4819+012.7547__01373s__conf0.542.wav,IPA16ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210222T082957569+0100_E20210222T085954600+0100_+00.4892+012.7481__00253s__conf0.956.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210222T082957569+0100_E20210222T085954600+0100_+00.4892+012.7481__01190s__conf0.999.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T155954778+0100_E20210223T162954182+0100_+00.4892+012.7481__01105s__conf1.000.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T155954778+0100_E20210223T162954182+0100_+00.4892+012.7481__01106s__conf0.996.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T055956044+0100_E20210224T062953732+0100_+00.4892+012.7481__00285s__conf0.994.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T055956044+0100_E20210224T062953732+0100_+00.4892+012.7481__00287s__conf0.981.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T055956044+0100_E20210224T062953732+0100_+00.4892+012.7481__00288s__conf0.999.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T055956044+0100_E20210224T062953732+0100_+00.4892+012.7481__00289s__conf0.998.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T055956044+0100_E20210224T062953732+0100_+00.4892+012.7481__00290s__conf0.758.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T055956044+0100_E20210224T062953732+0100_+00.4892+012.7481__00349s__conf0.999.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T055956044+0100_E20210224T062953732+0100_+00.4892+012.7481__00352s__conf0.578.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T142952407+0100_E20210224T145949210+0100_+00.4892+012.7481__00595s__conf0.994.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T142952407+0100_E20210224T145949210+0100_+00.4892+012.7481__00987s__conf0.998.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T142952407+0100_E20210224T145949210+0100_+00.4892+012.7481__00998s__conf0.637.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T142952407+0100_E20210224T145949210+0100_+00.4892+012.7481__01021s__conf0.914.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T142952407+0100_E20210224T145949210+0100_+00.4892+012.7481__01036s__conf0.841.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T142952407+0100_E20210224T145949210+0100_+00.4892+012.7481__01084s__conf0.981.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T142952407+0100_E20210224T145949210+0100_+00.4892+012.7481__01489s__conf0.680.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T162950573+0100_E20210224T165950463+0100_+00.4892+012.7481__01774s__conf0.795.wav,IPA17ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T075949355+0100_E20210224T082947395+0100_+00.4872+012.7392__01572s__conf0.873.wav,IPA18ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T172951069+0100_E20210224T175946111+0100_+00.4872+012.7392__00867s__conf0.987.wav,IPA18ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T172951069+0100_E20210224T175946111+0100_+00.4872+012.7392__00881s__conf1.000.wav,IPA18ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T172951069+0100_E20210224T175946111+0100_+00.4872+012.7392__01148s__conf0.998.wav,IPA18ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T055946728+0100_E20210225T062945397+0100_+00.4872+012.7392__00619s__conf0.954.wav,IPA18ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T055946728+0100_E20210225T062945397+0100_+00.4872+012.7392__00620s__conf0.917.wav,IPA18ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210225T075945250+0100_E20210225T082944290+0100_+00.4872+012.7392__00351s__conf0.563.wav,IPA18ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210222T075956672+0100_E20210222T082953717+0100_+00.4847+012.7317__01087s__conf0.981.wav,IPA19ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210222T085958553+0100_E20210222T092953877+0100_+00.4847+012.7317__00355s__conf0.748.wav,IPA19ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210222T095957430+0100_E20210222T102953940+0100_+00.4847+012.7317__01351s__conf0.513.wav,IPA19ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210222T095957430+0100_E20210222T102953940+0100_+00.4847+012.7317__01352s__conf0.978.wav,IPA19ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T215951507+0100_E20210223T222949552+0100_+00.4847+012.7317__01593s__conf0.949.wav,IPA19ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T162948938+0100_E20210224T165947264+0100_+00.4847+012.7317__01473s__conf0.998.wav,IPA19ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T172948996+0100_E20210224T175947321+0100_+00.4847+012.7317__01242s__conf0.980.wav,IPA19ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T172948996+0100_E20210224T175947321+0100_+00.4847+012.7317__01243s__conf0.995.wav,IPA19ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T172948996+0100_E20210224T175947321+0100_+00.4847+012.7317__01443s__conf0.795.wav,IPA19ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__20210225T080000+0100_Short-term_Makokou__00733s__conf0.896.wav,IPA1ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210222T112955XXX+0100_E20210222T112955XXX+0100_+000.0000+000.0000__00012s__conf0.809.wav,IPA20ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210223T132955798+0100_E20210223T135950842+0100_+00.4842+012.7222__00337s__conf0.819.wav,IPA20ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T062951887+0100_E20210224T065949395+0100_+00.4842+012.7222__00612s__conf0.582.wav,IPA20ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
Cernic__S20210224T062951887+0100_E20210224T065949395+0100_+00.4842+012.7222__00613s__conf0.976.wav,IPA20ST,expert_says_not_background: some are potential C. nictitans but low quality (too faint to confirm); training on them would teach the model to fire on near-silence,"Santiago Perea, 2026-08-17; reason recorded from chat 2026-08-18"
