file,timestamp,start_s
Cernic__20210222T053000+0100_Short-term_Makokou__01540s__conf0.980.wav,20210222T053000,1540
Cernic__20210222T060000+0100_Short-term_Makokou__01490s__conf0.735.wav,20210222T060000,1490
Cernic__20210222T060000+0100_Short-term_Makokou__01546s__conf0.786.wav,20210222T060000,1546
Cernic__20210222T060000+0100_Short-term_Makokou__01547s__conf1.000.wav,20210222T060000,1547
Cernic__20210222T060000+0100_Short-term_Makokou__01548s__conf0.987.wav,20210222T060000,1548
Cernic__20210222T063000+0100_Short-term_Makokou__00668s__conf0.708.wav,20210222T063000,668
Cernic__20210222T080000+0100_Short-term_Makokou__00819s__conf0.971.wav,20210222T080000,819
Cernic__20210222T080000+0100_Short-term_Makokou__00821s__conf0.898.wav,20210222T080000,821
Cernic__20210222T080000+0100_Short-term_Makokou__00822s__conf0.730.wav,20210222T080000,822
Cernic__20210222T080000+0100_Short-term_Makokou__00824s__conf0.775.wav,20210222T080000,824
Cernic__20210222T080000+0100_Short-term_Makokou__00850s__conf1.000.wav,20210222T080000,850
Cernic__20210222T080000+0100_Short-term_Makokou__00851s__conf0.983.wav,20210222T080000,851
Cernic__20210222T080000+0100_Short-term_Makokou__00853s__conf0.954.wav,20210222T080000,853
Cernic__20210222T080000+0100_Short-term_Makokou__00854s__conf0.985.wav,20210222T080000,854
Cernic__20210222T080000+0100_Short-term_Makokou__00873s__conf0.999.wav,20210222T080000,873
Cernic__20210222T080000+0100_Short-term_Makokou__00874s__conf0.999.wav,20210222T080000,874
Cernic__20210222T100000+0100_Short-term_Makokou__00694s__conf0.797.wav,20210222T100000,694
Cernic__20210222T100000+0100_Short-term_Makokou__00695s__conf0.536.wav,20210222T100000,695
Cernic__20210222T100000+0100_Short-term_Makokou__00700s__conf0.906.wav,20210222T100000,700
Cernic__20210222T160000+0100_Short-term_Makokou__01705s__conf0.870.wav,20210222T160000,1705
Cernic__20210222T160000+0100_Short-term_Makokou__01707s__conf0.913.wav,20210222T160000,1707
Cernic__20210222T160000+0100_Short-term_Makokou__01708s__conf0.999.wav,20210222T160000,1708
Cernic__20210222T170000+0100_Short-term_Makokou__01590s__conf0.912.wav,20210222T170000,1590
Cernic__20210222T170000+0100_Short-term_Makokou__01591s__conf0.510.wav,20210222T170000,1591
Cernic__20210222T180000+0100_Short-term_Makokou__01227s__conf0.568.wav,20210222T180000,1227
Cernic__20210222T183000+0100_Short-term_Makokou__00300s__conf1.000.wav,20210222T183000,300
Cernic__20210223T020000+0100_Short-term_Makokou__00297s__conf0.996.wav,20210223T020000,297
Cernic__20210223T020000+0100_Short-term_Makokou__00298s__conf0.999.wav,20210223T020000,298
Cernic__20210223T053000+0100_Short-term_Makokou__00780s__conf0.643.wav,20210223T053000,780
Cernic__20210223T053000+0100_Short-term_Makokou__00781s__conf0.927.wav,20210223T053000,781
Cernic__20210223T053000+0100_Short-term_Makokou__00872s__conf0.951.wav,20210223T053000,872
Cernic__20210223T053000+0100_Short-term_Makokou__01508s__conf1.000.wav,20210223T053000,1508
Cernic__20210223T053000+0100_Short-term_Makokou__01509s__conf1.000.wav,20210223T053000,1509
Cernic__20210223T053000+0100_Short-term_Makokou__01510s__conf0.999.wav,20210223T053000,1510
Cernic__20210223T053000+0100_Short-term_Makokou__01511s__conf0.998.wav,20210223T053000,1511
Cernic__20210223T053000+0100_Short-term_Makokou__01512s__conf0.997.wav,20210223T053000,1512
Cernic__20210223T053000+0100_Short-term_Makokou__01513s__conf0.904.wav,20210223T053000,1513
Cernic__20210223T053000+0100_Short-term_Makokou__01514s__conf0.992.wav,20210223T053000,1514
Cernic__20210223T053000+0100_Short-term_Makokou__01515s__conf0.911.wav,20210223T053000,1515
Cernic__20210223T053000+0100_Short-term_Makokou__01516s__conf1.000.wav,20210223T053000,1516
Cernic__20210223T053000+0100_Short-term_Makokou__01517s__conf0.999.wav,20210223T053000,1517
Cernic__20210223T053000+0100_Short-term_Makokou__01518s__conf0.988.wav,20210223T053000,1518
Cernic__20210223T053000+0100_Short-term_Makokou__01539s__conf1.000.wav,20210223T053000,1539
Cernic__20210223T053000+0100_Short-term_Makokou__01540s__conf1.000.wav,20210223T053000,1540
Cernic__20210223T053000+0100_Short-term_Makokou__01541s__conf1.000.wav,20210223T053000,1541
Cernic__20210223T053000+0100_Short-term_Makokou__01542s__conf1.000.wav,20210223T053000,1542
Cernic__20210223T060000+0100_Short-term_Makokou__00880s__conf0.658.wav,20210223T060000,880
Cernic__20210223T073000+0100_Short-term_Makokou__00133s__conf0.980.wav,20210223T073000,133
Cernic__20210223T073000+0100_Short-term_Makokou__01120s__conf0.911.wav,20210223T073000,1120
Cernic__20210223T083000+0100_Short-term_Makokou__01028s__conf0.995.wav,20210223T083000,1028
Cernic__20210223T120000+0100_Short-term_Makokou__00220s__conf0.977.wav,20210223T120000,220
Cernic__20210223T120000+0100_Short-term_Makokou__00221s__conf1.000.wav,20210223T120000,221
Cernic__20210223T120000+0100_Short-term_Makokou__00222s__conf0.985.wav,20210223T120000,222
Cernic__20210223T120000+0100_Short-term_Makokou__00223s__conf0.981.wav,20210223T120000,223
Cernic__20210223T120000+0100_Short-term_Makokou__00226s__conf0.998.wav,20210223T120000,226
Cernic__20210223T120000+0100_Short-term_Makokou__00227s__conf1.000.wav,20210223T120000,227
Cernic__20210223T120000+0100_Short-term_Makokou__00228s__conf0.744.wav,20210223T120000,228
Cernic__20210223T120000+0100_Short-term_Makokou__00249s__conf0.998.wav,20210223T120000,249
Cernic__20210223T120000+0100_Short-term_Makokou__00250s__conf0.978.wav,20210223T120000,250
Cernic__20210223T120000+0100_Short-term_Makokou__00257s__conf1.000.wav,20210223T120000,257
Cernic__20210223T120000+0100_Short-term_Makokou__00258s__conf1.000.wav,20210223T120000,258
Cernic__20210223T120000+0100_Short-term_Makokou__00259s__conf0.957.wav,20210223T120000,259
Cernic__20210223T120000+0100_Short-term_Makokou__00277s__conf0.897.wav,20210223T120000,277
Cernic__20210223T120000+0100_Short-term_Makokou__00278s__conf0.999.wav,20210223T120000,278
Cernic__20210223T120000+0100_Short-term_Makokou__00279s__conf0.998.wav,20210223T120000,279
Cernic__20210223T120000+0100_Short-term_Makokou__00280s__conf0.893.wav,20210223T120000,280
Cernic__20210223T120000+0100_Short-term_Makokou__00299s__conf0.991.wav,20210223T120000,299
Cernic__20210223T183000+0100_Short-term_Makokou__01342s__conf1.000.wav,20210223T183000,1342
Cernic__20210223T183000+0100_Short-term_Makokou__01343s__conf0.999.wav,20210223T183000,1343
Cernic__20210223T183000+0100_Short-term_Makokou__01626s__conf0.743.wav,20210223T183000,1626
Cernic__20210223T183000+0100_Short-term_Makokou__01627s__conf0.656.wav,20210223T183000,1627
Cernic__20210223T183000+0100_Short-term_Makokou__01628s__conf0.991.wav,20210223T183000,1628
Cernic__20210223T183000+0100_Short-term_Makokou__01629s__conf0.976.wav,20210223T183000,1629
Cernic__20210223T183000+0100_Short-term_Makokou__01630s__conf0.736.wav,20210223T183000,1630
Cernic__20210223T183000+0100_Short-term_Makokou__01633s__conf0.547.wav,20210223T183000,1633
Cernic__20210223T183000+0100_Short-term_Makokou__01660s__conf0.797.wav,20210223T183000,1660
Cernic__20210223T183000+0100_Short-term_Makokou__01661s__conf0.623.wav,20210223T183000,1661
Cernic__20210223T193000+0100_Short-term_Makokou__00892s__conf0.981.wav,20210223T193000,892
Cernic__20210223T193000+0100_Short-term_Makokou__00896s__conf0.586.wav,20210223T193000,896
Cernic__20210223T210000+0100_Short-term_Makokou__01087s__conf0.500.wav,20210223T210000,1087
Cernic__20210223T220000+0100_Short-term_Makokou__00231s__conf0.967.wav,20210223T220000,231
Cernic__20210223T220000+0100_Short-term_Makokou__00232s__conf0.883.wav,20210223T220000,232
Cernic__20210223T220000+0100_Short-term_Makokou__00731s__conf0.539.wav,20210223T220000,731
Cernic__20210223T223000+0100_Short-term_Makokou__01237s__conf0.674.wav,20210223T223000,1237
Cernic__20210224T020000+0100_Short-term_Makokou__00653s__conf0.543.wav,20210224T020000,653
Cernic__20210224T020000+0100_Short-term_Makokou__01162s__conf0.782.wav,20210224T020000,1162
Cernic__20210224T033000+0100_Short-term_Makokou__01092s__conf0.543.wav,20210224T033000,1092
Cernic__20210224T033000+0100_Short-term_Makokou__01455s__conf0.992.wav,20210224T033000,1455
Cernic__20210224T040000+0100_Short-term_Makokou__01047s__conf0.910.wav,20210224T040000,1047
Cernic__20210224T050000+0100_Short-term_Makokou__00804s__conf0.964.wav,20210224T050000,804
Cernic__20210224T050000+0100_Short-term_Makokou__00805s__conf0.992.wav,20210224T050000,805
Cernic__20210224T070000+0100_Short-term_Makokou__00935s__conf0.993.wav,20210224T070000,935
Cernic__20210224T070000+0100_Short-term_Makokou__00936s__conf0.999.wav,20210224T070000,936
Cernic__20210224T070000+0100_Short-term_Makokou__01575s__conf0.969.wav,20210224T070000,1575
Cernic__20210224T070000+0100_Short-term_Makokou__01623s__conf0.508.wav,20210224T070000,1623
Cernic__20210224T073000+0100_Short-term_Makokou__00023s__conf0.969.wav,20210224T073000,23
Cernic__20210224T073000+0100_Short-term_Makokou__00398s__conf0.999.wav,20210224T073000,398
Cernic__20210224T080000+0100_Short-term_Makokou__00027s__conf0.723.wav,20210224T080000,27
